,Unnamed: 0,channel_id,channel_title_name,totalchannel_views_count,total_subscriber_count,total_video_count,playlist_id,playlist_name,video_id,title_name,liveBroadcastContent,total_views_count,publishing_date,likeCount,favoriteCount,commentCount
19,1.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRipg4q6tM3p9dCH1l28kiXD,Dictionaries in Python,GQaU2Z5ZbZc,Copying a Dictionary in Python,none,3745,2023-08-19T13:30:09Z,85,0,total_comment_count
20,2.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRjSgal6OIEfzK4upXvkHSxW,Lists in Python,f2RATcdPcrE,Introduction to Lists in Python,none,13910,2023-07-26T14:30:28Z,220,0,total_comment_count
21,2.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRjSgal6OIEfzK4upXvkHSxW,Lists in Python,pLM1N5Esg8Q,Accessing Elements of a List in Python,none,7748,2023-07-28T17:00:38Z,132,0,total_comment_count
22,2.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRjSgal6OIEfzK4upXvkHSxW,Lists in Python,VZ9QmyPjXJw,Adding Elements to a List in Python,none,6881,2023-07-29T15:45:01Z,135,0,total_comment_count
23,2.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRjSgal6OIEfzK4upXvkHSxW,Lists in Python,7-bfZPsa4VA,input() Method in Python,none,4681,2023-07-30T15:45:00Z,124,0,total_comment_count
24,2.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRjSgal6OIEfzK4upXvkHSxW,Lists in Python,jY7LyJ-UA80,Input a List using Loops in Python,none,9706,2023-07-31T13:30:16Z,155,0,total_comment_count
25,2.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRjSgal6OIEfzK4upXvkHSxW,Lists in Python,paVL-trB1KA,Input a List using split() Method in Python,none,9023,2023-08-01T15:00:42Z,168,0,total_comment_count
26,2.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRjSgal6OIEfzK4upXvkHSxW,Lists in Python,OK0N7KWSBbo,Input a List using split() Method and Loops in Python,none,4880,2023-08-02T15:00:32Z,91,0,total_comment_count
27,2.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRjSgal6OIEfzK4upXvkHSxW,Lists in Python,KuyPs2zP8Uo,Changing List Items in Python,none,4469,2023-08-03T13:30:12Z,89,0,total_comment_count
28,2.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRjSgal6OIEfzK4upXvkHSxW,Lists in Python,f8YtlYffg7g,Removing List Items in Python,none,4028,2023-08-04T14:00:35Z,92,0,total_comment_count
29,2.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRjSgal6OIEfzK4upXvkHSxW,Lists in Python,-_L0SHhFMC4,List Comprehension in Python,none,5686,2023-08-06T14:45:00Z,118,0,total_comment_count
30,2.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRjSgal6OIEfzK4upXvkHSxW,Lists in Python,IpfE8qKtkCk,Python Programming - Rapid Fire Quiz 2,none,3648,2023-08-08T13:30:11Z,106,0,total_comment_count
31,2.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRjSgal6OIEfzK4upXvkHSxW,Lists in Python,f2RATcdPcrE,Introduction to Lists in Python,none,13920,2023-07-26T14:30:28Z,220,0,total_comment_count
32,2.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRjSgal6OIEfzK4upXvkHSxW,Lists in Python,pLM1N5Esg8Q,Accessing Elements of a List in Python,none,7752,2023-07-28T17:00:38Z,132,0,total_comment_count
33,2.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRjSgal6OIEfzK4upXvkHSxW,Lists in Python,VZ9QmyPjXJw,Adding Elements to a List in Python,none,6884,2023-07-29T15:45:01Z,135,0,total_comment_count
34,2.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRjSgal6OIEfzK4upXvkHSxW,Lists in Python,7-bfZPsa4VA,input() Method in Python,none,4688,2023-07-30T15:45:00Z,124,0,total_comment_count
35,2.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRjSgal6OIEfzK4upXvkHSxW,Lists in Python,jY7LyJ-UA80,Input a List using Loops in Python,none,9716,2023-07-31T13:30:16Z,155,0,total_comment_count
